Geographic_name,Geographic_area_type,Province or territory abbreviation,Population_2021,Population_2016,Population_perc_change_2016_2021,"Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021",Latitude,Longitude
Little Bay Islands,T,N.L.,0,71,-100,1,117,-99.1,1,40,-97.5,7.34,0,"4,831",366,49.6443361,-55.7974221
Little Burnt Bay,T,N.L.,238,281,-15.3,138,144,-4.2,107,119,-10.1,8.46,28.1,"3,724",248,49.3397167,-55.0820056
Logy Bay-Middle Cove-Outer Cove,T,N.L.,2364,2221,6.4,940,827,13.7,887,804,10.3,16.99,139.1,"1,240",32,47.6366889,-52.6870083
Lord's Cove,T,N.L.,155,162,-4.3,113,96,17.7,79,78,1.3,29.91,5.2,"4,033",292,46.8984417,-55.6587028
Lourdes,T,N.L.,502,465,8,264,234,12.8,227,215,5.6,7.39,68,"2,938",158,48.647823,-59.001605
Lumsden,T,N.L.,535,501,6.8,305,295,3.4,226,212,6.6,19.2,27.9,"2,859",150,49.2867583,-53.5925417
Main Brook,T,N.L.,246,243,1.2,180,155,16.1,118,117,0.9,28,8.8,"3,696",244,51.1652528,-55.9875694
Makkovik,T,N.L.,365,377,-3.2,154,148,4.1,142,137,3.6,2.95,123.5,"3,302",196,55.047394,-59.202842
Mary's Harbour,T,N.L.,312,341,-8.5,147,154,-4.5,121,125,-3.2,34.25,9.1,"3,472",217,52.3152777,-55.8336001
Marystown,T,N.L.,5204,5316,-2.1,"2,609","2,383",9.5,"2,328","2,209",5.4,62.23,83.6,712,15,47.154975,-55.1644334
Massey Drive,T,N.L.,1606,1632,-1.6,670,624,7.4,626,610,2.6,2.45,655.1,"1,594",54,48.9363861,-57.8927417
Meadows,T,N.L.,404,626,-35.5,198,270,-26.7,178,235,-24.3,3.82,105.7,"3,167",182,48.996536,-58.045158
Middle Arm,T,N.L.,443,474,-6.5,192,195,-1.5,175,183,-4.4,24.93,17.8,"3,067",168,49.7030277,-56.1148445
Middle Arm,T,N.L.,443,474,-6.5,192,195,-1.5,175,183,-4.4,24.93,17.8,"3,067",168,49.8569445,-56.4397222
Middle Arm,T,N.L.,443,474,-6.5,192,195,-1.5,175,183,-4.4,24.93,17.8,"3,067",168,47.4358333,-53.2008333
Miles Cove,T,N.L.,97,104,-6.7,65,62,4.8,48,48,0,3.98,24.3,"4,267",325,49.5401528,-55.7958777
Millertown,T,N.L.,87,81,7.4,49,66,-25.8,40,38,5.3,3.08,28.3,"4,317",330,48.8119444,-56.5430555
Milltown-Head of Bay d'Espoir,T,N.L.,669,749,-10.7,358,381,-6,320,341,-6.2,24.95,26.8,"2,590",114,47.925892,-55.744281
Ming's Bight,T,N.L.,298,319,-6.6,141,137,2.9,124,122,1.6,3.81,78.3,"3,515",220,49.9747833,-56.0409167
Morrisville,T,N.L.,93,101,-7.9,46,50,-8,43,43,0,14.09,6.6,"4,292",329,47.882844,-55.767158
Mount Carmel-Mitchells Brook-St. Catherine's,T,N.L.,382,349,9.5,385,302,27.5,203,163,24.5,60.76,6.3,"3,237",190,47.186478,-53.422992
Mount Moriah,T,N.L.,700,746,-6.2,309,308,0.3,285,301,-5.3,15.71,44.6,"2,523",106,48.9583917,-58.0708694
Mount Pearl,CY,N.L.,22477,23120,-2.8,"10,685","10,381",2.9,"9,931","9,673",2.7,15.65,"1,436.20",199,4,47.5195306,-52.8118056
Musgrave Harbour,T,N.L.,946,990,-4.4,486,501,-3,413,417,-1,67.3,14.1,"2,186",83,49.4167028,-53.9644222
Musgravetown,T,N.L.,561,564,-0.5,301,285,5.6,246,230,7,13.49,41.6,"2,793",139,48.4140306,-53.8921305
Nain,T,N.L.,847,1125,-24.7,266,362,-26.5,245,324,-24.4,93.5,9.1,"2,315",91,56.536319,-61.718942
New Perlican,T,N.L.,200,186,7.5,173,163,6.1,107,95,12.6,24.45,8.2,"3,866",264,47.9069389,-53.3271
New-Wes-Valley,T,N.L.,2044,2172,-5.9,"1,089","1,157",-5.9,903,912,-1,132.7,15.4,"1,367",40,49.1531389,-53.6266722
Nippers Harbour,T,N.L.,74,85,-12.9,66,64,3.1,34,37,-8.1,1.93,38.3,"4,387",339,49.7933334,-55.8702778
Norman's Cove-Long Cove,T,N.L.,647,666,-2.9,342,339,0.9,291,281,3.6,20.15,32.1,"2,626",118,47.5459305,-53.6899055
Norris Arm,T,N.L.,708,737,-3.9,435,392,11,334,348,-4,41.35,17.1,"2,504",105,49.0773444,-55.2379028
Norris Point,T,N.L.,602,670,-10.1,351,356,-1.4,263,282,-6.7,4.84,124.4,"2,714",125,49.5194444,-57.8725
North River,T,N.L.,579,570,1.6,318,286,11.2,261,242,7.9,4.2,137.7,"2,752",132,47.54345,-53.3130305
North River,T,N.L.,579,570,1.6,318,286,11.2,261,242,7.9,4.2,137.7,"2,752",132,53.8190197,-57.1036152
North West River,T,N.L.,560,547,2.4,284,277,2.5,247,246,0.4,3.55,157.9,"2,796",140,53.53545,-60.1440055
Northern Arm,T,N.L.,371,426,-12.9,213,218,-2.3,166,186,-10.8,24.94,14.9,"3,277",193,49.1861222,-55.3862583
Old Perlican,T,N.L.,608,633,-3.9,316,288,9.7,253,238,6.3,14.14,43,"2,700",123,48.0871306,-52.9944472
Pacquet,T,N.L.,145,164,-11.6,97,97,0,76,78,-2.6,14.44,10,"4,077",297,49.992475,-55.8973083
Paradise,T,N.L.,22957,21389,7.3,"9,331","8,662",7.7,"8,813","8,038",9.6,29.67,773.8,196,3,47.5346416,-52.8839778
Paradise,T,N.L.,22957,21389,7.3,"9,331","8,662",7.7,"8,813","8,038",9.6,29.67,773.8,196,3,55.514159,-60.079965
Paradise,T,N.L.,22957,21389,7.3,"9,331","8,662",7.7,"8,813","8,038",9.6,29.67,773.8,196,3,49.665801,-54.782202
Parkers Cove,T,N.L.,233,248,-6,130,127,2.4,103,103,0,4.77,48.8,"3,735",251,47.3984917,-54.8605778
Parson's Pond,T,N.L.,368,345,6.7,216,207,4.3,177,157,12.7,12.34,29.8,"3,290",195,50.0369278,-57.6969917
Pasadena,T,N.L.,3524,3620,-2.7,"1,598","1,582",1,"1,494","1,480",0.9,49.17,71.7,930,19,49.0119334,-57.5684833
Peterview,T,N.L.,723,828,-12.7,288,313,-8,279,308,-9.4,6.34,114.1,"2,482",103,49.1074583,-55.3388167
Petty Harbour-Maddox Cove,T,N.L.,947,960,-1.4,408,394,3.6,381,371,2.7,4.4,215.3,"2,182",82,47.4731556,-52.7071833
Pilley's Island,T,N.L.,286,294,-2.7,186,155,20,135,133,1.5,34.65,8.3,"3,554",226,49.5277056,-55.7158528
Pinware,T,N.L.,64,88,-27.3,31,50,-38,28,36,-22.2,4.08,15.7,"4,437",343,51.6219444,-56.7138889
Placentia,T,N.L.,3289,3496,-5.9,"1,827","1,852",-1.3,"1,543","1,559",-1,57.8,56.9,976,20,47.2705222,-53.9050916
Point Lance,T,N.L.,87,102,-14.7,48,48,0,40,42,-4.8,28.29,3.1,"4,317",330,46.8261611,-54.085025
Point Leamington,T,N.L.,574,591,-2.9,341,334,2.1,278,279,-0.4,26.8,21.4,"2,772",136,49.3198666,-55.4141
Point May,T,N.L.,254,231,10,134,116,15.5,123,101,21.8,63.25,4,"3,662",239,46.9452555,-55.9358056
Point au Gaul,T,N.L.,67,88,-23.9,41,40,2.5,33,36,-8.3,3.89,17.2,"4,420",342,46.8671222,-55.7472111
Point of Bay,T,N.L.,137,154,-11,109,120,-9.2,67,71,-5.6,21.62,6.3,"4,111",302,49.2770277,-55.2679083
Pool's Cove,T,N.L.,143,193,-25.9,75,96,-21.9,62,77,-19.5,2.65,54.1,"4,087",298,47.68255,-55.4343944
Port Anson,T,N.L.,42,130,-67.7,72,109,-33.9,23,56,-58.9,7.72,5.4,"4,540",356,49.5366639,-55.8520028
Port Blandford,T,N.L.,513,488,5.1,398,317,25.6,258,226,14.2,51,10.1,"2,902",153,48.3414861,-54.1775472
Port Hope Simpson,T,N.L.,403,412,-2.2,186,176,5.7,159,152,4.6,32.02,12.6,"3,169",184,52.5433334,-56.2977778
Port Kirwan,T,N.L.,49,52,-5.8,53,64,-17.2,30,27,11.1,8.84,5.5,"4,516",353,46.9822056,-52.9176361
Port Rexton,T,N.L.,361,340,6.2,244,250,-2.4,169,157,7.6,11.64,31,"3,314",197,48.3995278,-53.3245444
Port Saunders,T,N.L.,678,674,0.6,319,312,2.2,284,281,1.1,38.5,17.6,"2,567",112,50.6620167,-57.2538723
Port au Choix,T,N.L.,742,789,-6,395,408,-3.2,360,363,-0.8,35.56,20.9,"2,455",100,50.7050139,-57.3270028
Port au Port East,T,N.L.,413,579,-28.7,220,286,-23.1,198,267,-25.8,25.06,16.5,"3,136",177,48.5804306,-58.6711361
Port au Port West-Aguathuna-Felix Cove,T,N.L.,384,449,-14.5,225,222,1.4,202,212,-4.7,16.97,22.6,"3,226",189,48.54625,-58.7731222
Portugal Cove South,T,N.L.,86,150,-42.7,85,91,-6.6,47,69,-31.9,1.08,79.9,"4,321",332,46.7044445,-53.2561111
Portugal Cove-St. Philip's,T,N.L.,8415,8147,3.3,"3,357","3,215",4.4,"3,170","3,028",4.7,57.61,146.1,490,8,47.6254028,-52.8380222
Postville,T,N.L.,188,177,6.2,83,112,-25.9,75,75,0,2.39,78.7,"3,895",268,54.91023,-59.802161
Pouch Cove,T,N.L.,2063,2069,-0.3,872,868,0.5,823,818,0.6,58.24,35.4,"1,355",39,47.7464916,-52.7774333
Raleigh,T,N.L.,150,177,-15.3,108,102,5.9,75,84,-10.7,11.27,13.3,"4,055",294,51.5588889,-55.7286111
Ramea,T,N.L.,388,447,-13.2,207,277,-25.3,206,216,-4.6,1.86,208.9,"3,213",187,47.5206972,-57.3944695
Red Bay,T,N.L.,142,169,-16,69,92,-25,65,71,-8.5,2.31,61.3,"4,089",299,51.7327778,-56.4277778
Red Harbour,T,N.L.,177,189,-6.3,82,83,-1.2,76,78,-2.6,11.19,15.8,"3,944",278,47.2927334,-55.002225
Reidville,T,N.L.,550,509,8.1,259,219,18.3,232,199,16.6,58.28,9.4,"2,812",142,49.2595195,-57.3674916
Rencontre East,T,N.L.,115,139,-17.3,75,77,-2.6,46,50,-8,2.56,44.9,"4,198",312,47.6375,-55.215278
Renews-Cappahayden,T,N.L.,280,301,-7,259,346,-25.1,143,148,-3.4,125.93,2.2,"3,581",229,46.8980555,-52.9477778
Rigolet,T,N.L.,327,305,7.2,134,127,5.5,125,114,9.6,5.27,62,"3,424",209,54.179068,-58.431039
River of Ponds,T,N.L.,173,215,-19.5,128,138,-7.2,85,96,-11.5,4.46,38.8,"3,964",283,50.5303944,-57.3829889
Riverhead,T,N.L.,165,185,-10.8,128,153,-16.3,87,83,4.8,101.84,1.6,"3,991",287,46.9934694,-53.4833
Riverhead,T,N.L.,165,185,-10.8,128,153,-16.3,87,83,4.8,101.84,1.6,"3,991",287,47.8855555,-53.085
Riverhead,T,N.L.,165,185,-10.8,128,153,-16.3,87,83,4.8,101.84,1.6,"3,991",287,46.7638889,-53.3513889
Robert's Arm,T,N.L.,722,805,-10.3,385,380,1.3,351,357,-1.7,36.09,20,"2,485",104,49.4766556,-55.8347694
Rocky Harbour,T,N.L.,937,947,-1.1,556,523,6.3,436,428,1.9,12.08,77.6,"2,197",84,49.5944445,-57.9194445
Roddickton-Bide Arm,T,N.L.,928,999,-7.1,422,418,1,377,379,-0.5,45.14,20.6,"2,209",85,50.848557,-56.110637
Rushoon,T,N.L.,229,245,-6.5,131,127,3.1,114,110,3.6,5.89,38.9,"3,753",252,47.3513028,-54.9201111
Sally's Cove,T,N.L.,15,20,-25,29,30,-3.3,10,12,-16.7,4.61,3.3,"4,694",363,49.7238667,-57.9310944
Salmon Cove,T,N.L.,764,680,12.4,393,329,19.5,340,276,23.2,4.21,181.6,"2,416",98,47.7800306,-53.1732472
Salvage,T,N.L.,108,124,-12.9,100,104,-3.8,50,58,-13.8,15.85,6.8,"4,224",315,48.6732139,-53.6629333
Sandringham,T,N.L.,205,229,-10.5,120,125,-4,101,104,-2.9,9.57,21.4,"3,852",261,48.6589444,-53.8274778
Sandy Cove,T,N.L.,120,122,-1.6,95,92,3.3,56,58,-3.4,8.99,13.4,"4,170",306,48.6475861,-53.7085834
Small Point-Adam's Cove-Blackhead-Broad Cove,T,N.L.,414,387,7,327,308,6.2,200,171,17,23.12,17.9,"3,128",175,47.847008,-53.127678
South Brook,T,N.L.,420,482,-12.9,243,256,-5.1,202,221,-8.6,8.72,48.1,"3,113",173,49.4029722,-56.089675
South Brook,T,N.L.,420,482,-12.9,243,256,-5.1,202,221,-8.6,8.72,48.1,"3,113",173,49.9769445,-56.0286111
South River,T,N.L.,674,647,4.2,351,335,4.8,297,286,3.8,5.97,113,"2,577",113,47.5320889,-53.2680833
Southern Harbour,T,N.L.,313,395,-20.8,209,213,-1.9,152,173,-12.1,5.39,58.1,"3,465",215,47.7223584,-53.9534666
Spaniard's Bay,T,N.L.,2630,2653,-0.9,"1,247","1,180",5.7,"1,112","1,089",2.1,66.09,39.8,"1,149",29,47.6180528,-53.3369778
Springdale,T,N.L.,2965,2971,-0.2,"1,424","1,306",9,"1,285","1,230",4.5,17.46,169.8,"1,057",24,49.5119027,-56.0642695
St. Alban's,T,N.L.,1189,1186,0.3,650,604,7.6,560,532,5.3,20.48,58,"1,909",69,47.877222,-55.849336
St. Anthony,T,N.L.,2180,2258,-3.5,"1,036","1,040",-0.4,924,920,0.4,37.46,58.2,"1,309",35,51.374936,-55.616405
St. Bernard's-Jacques Fontaine,T,N.L.,433,433,0,225,220,2.3,201,190,5.8,16.08,26.9,"3,098",172,47.5195028,-54.9091917
St. Brendan's,T,N.L.,125,145,-13.8,122,137,-10.9,69,70,-1.4,9.76,12.8,"4,150",304,48.85805,-53.6660305
St. Bride's,T,N.L.,318,252,26.2,204,169,20.7,166,128,29.7,5.38,59.1,"3,450",211,46.9208334,-54.1711111
St. George's,T,N.L.,1139,1203,-5.3,611,597,2.3,543,541,0.4,25.71,44.3,"1,962",75,48.4152861,-58.4943917
St. Jacques-Coomb's Cove,T,N.L.,546,588,-7.1,287,310,-7.4,242,247,-2,81.89,6.7,"2,826",143,47.4708222,-55.5418222
St. John's,CY,N.L.,110525,108860,1.5,"54,067","52,410",3.2,"49,298","47,627",3.5,446.02,247.8,50,1,47.482197,-52.797069
St. Joseph's,T,N.L.,86,115,-25.2,79,114,-30.7,45,58,-22.4,29.22,2.9,"4,321",332,47.09215,-53.5157889
St. Lawrence,T,N.L.,1115,1192,-6.5,598,601,-0.5,485,477,1.7,34.86,32,"1,983",77,46.907917,-55.404514
St. Lewis,T,N.L.,181,194,-6.7,93,89,4.5,72,74,-2.7,10.04,18,"3,925",276,52.3724528,-55.7012583
St. Lunaire-Griquet,T,N.L.,603,604,-0.2,302,267,13.1,258,245,5.3,17.29,34.9,"2,711",124,51.5205361,-55.4808889
St. Mary's,T,N.L.,313,347,-9.8,202,216,-6.5,158,170,-7.1,36.41,8.6,"3,465",215,46.9135056,-53.5317416
St. Pauls,T,N.L.,202,238,-15.1,101,111,-9,91,96,-5.2,6.34,31.9,"3,862",263,49.8636667,-57.8059806
St. Shott's,T,N.L.,55,66,-16.7,50,52,-3.8,34,38,-10.5,1.07,51.3,"4,482",346,46.632222,-53.586667
St. Vincent's-St. Stephen's-Peter's River,T,N.L.,263,313,-16,207,221,-6.3,142,156,-9,86.62,3,"3,634",236,46.7794278,-53.5835861
Steady Brook,T,N.L.,416,444,-6.3,195,204,-4.4,178,182,-2.2,1.24,335.2,"3,123",174,48.9583945,-57.8184528
Stephenville,T,N.L.,6540,6623,-1.3,"3,412","3,366",1.4,"3,188","3,129",1.9,35.27,185.4,611,13,48.5476139,-58.5475556
Stephenville Crossing,T,N.L.,1634,1719,-4.9,826,833,-0.8,751,774,-3,31.07,52.6,"1,578",53,48.5288028,-58.4553583
Summerford,T,N.L.,805,906,-11.1,432,467,-7.5,368,400,-8,16.04,50.2,"2,362",96,49.4971028,-54.78295
Sunnyside,T,N.L.,407,396,2.8,271,286,-5.2,189,176,7.4,39.02,10.4,"3,161",180,47.8710584,-53.9124861
Sunnyside,T,N.L.,407,396,2.8,271,286,-5.2,189,176,7.4,39.02,10.4,"3,161",180,54.85,-59.799167
Terra Nova,T,N.L.,99,73,35.6,164,156,5.1,52,41,26.8,2.44,40.7,"4,260",323,48.5025,-54.2144445
Terrenceville,T,N.L.,446,482,-7.5,223,239,-6.7,191,202,-5.4,15.12,29.5,"3,056",166,47.659956,-54.70693
Tilt Cove,T,N.L.,5,5,0,9,8,12.5,2,3,-33.3,3.1,1.6,"4,760",364,49.8861111,-55.6269444
Tilt Cove,T,N.L.,5,5,0,9,8,12.5,2,3,-33.3,3.1,1.6,"4,760",364,49.5530555,-54.7297222
Torbay,T,N.L.,7852,7899,-0.6,"3,182","3,005",5.9,"2,985","2,864",4.2,34.89,225,525,10,47.6591278,-52.753175
Traytown,T,N.L.,279,267,4.5,161,149,8.1,136,115,18.3,13.3,21,"3,586",230,48.6610639,-53.9783417
Trepassey,T,N.L.,405,481,-15.8,299,356,-16,224,245,-8.6,54.21,7.5,"3,162",181,46.746758,-53.363625
Trinity Bay North,T,N.L.,1649,1819,-9.3,886,933,-5,778,813,-4.3,26.19,63,"1,568",51,48.501506,-53.081453
Triton,T,N.L.,896,983,-8.9,457,454,0.7,390,406,-3.9,7.54,118.9,"2,250",87,49.518325,-55.619875
Trout River,T,N.L.,508,552,-8,275,276,-0.4,210,221,-5,5.83,87.1,"2,920",155,49.4739333,-58.1252917
Twillingate,T,N.L.,2121,2196,-3.4,"1,302","1,261",3.3,"1,007","1,020",-1.3,25.6,82.8,"1,333",37,49.6443111,-54.7436166
Upper Island Cove,T,N.L.,1401,1561,-10.2,669,685,-2.3,582,632,-7.9,7.82,179.2,"1,740",60,47.6496972,-53.2235194
Victoria,T,N.L.,1658,1800,-7.9,822,810,1.5,712,741,-3.9,17.96,92.3,"1,562",50,47.77125,-53.2380778
Wabana,T,N.L.,1815,2146,-15.4,"1,181","1,150",2.7,951,"1,025",-7.2,14.49,125.3,"1,466",46,47.6394722,-52.9476666
Wabush,T,N.L.,1964,1906,3,864,950,-9.1,798,741,7.7,42.42,46.3,"1,402",41,52.872,-66.8909194
West St. Modeste,T,N.L.,102,111,-8.1,62,61,1.6,51,52,-1.9,7.6,13.4,"4,244",318,51.5974333,-56.7218444
Westport,T,N.L.,185,195,-5.1,124,118,5.1,84,82,2.4,5.23,35.4,"3,908",271,49.7877889,-56.617525
Whitbourne,T,N.L.,955,890,7.3,584,527,10.8,419,376,11.4,21.51,44.4,"2,171",80,47.4251083,-53.5417195
Whiteway,T,N.L.,351,373,-5.9,174,165,5.5,136,135,0.7,22.53,15.6,"3,339",201,47.683011,-53.451008
Winterland,T,N.L.,398,390,2.1,224,191,17.3,166,160,3.8,54.44,7.3,"3,184",185,47.1509833,-55.3142694
Winterton,T,N.L.,436,450,-3.1,287,277,3.6,204,197,3.6,10.61,41.1,"3,089",171,47.9528333,-53.3144861
Witless Bay,T,N.L.,1640,1619,1.3,656,634,3.5,611,589,3.7,17.61,93.1,"1,572",52,47.2827139,-52.8220834
Woodstock,T,N.L.,195,190,2.6,97,97,0,90,88,2.3,10.05,19.4,"3,876",266,49.9659111,-55.8915806
York Harbour,T,N.L.,372,344,8.1,244,246,-0.8,162,150,8,13.88,26.8,"3,272",192,49.0609222,-58.3295722